"gene","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Basp1",70350,"brain abundant, membrane attached signal protein 1","ENSMUSG00000045763","2610024P12Rik","15","protein_coding","abnormal Schwann cell morphology","BASP1"
"Grid1",14803,"glutamate receptor, ionotropic, delta 1, transcript variant X1","ENSMUSG00000041078","GluRdelta1","14","protein_coding","abnormal auditory brainstem response","GRID1"
"Zdbf2",73884,"zinc finger, DBF-type containing 2, transcript variant 3","ENSMUSG00000027520","4930431J08Rik","1","protein_coding","abnormal DNA methylation","ZDBF2"
"Tal1",21349,"T cell acute lymphocytic leukemia 1, transcript variant 1","ENSMUSG00000028717","bHLHa17","4","protein_coding","abnormal blood vessel morphology","TAL1"
"Raf1",110157,"v-raf-leukemia viral oncogene 1","ENSMUSG00000000441","6430402F14Rik","6","protein_coding","abnormal lens morphology","RAF1"
"Pgpep1l",78444,"pyroglutamyl-peptidase I-like, transcript variant X1","ENSMUSG00000030553","C330024D12Rik","7","protein_coding",NA,"PGPEP1L"
"Fzd4",14366,"frizzled homolog 4 (Drosophila)","ENSMUSG00000049791","Fz4","7","protein_coding","edema","FZD4"
"Tfdp1",21781,"transcription factor Dp 1, transcript variant 2","ENSMUSG00000038482","Dp1","8","protein_coding","decreased embryo size","TFDP1"
"Pdzrn4",239618,"PDZ domain containing RING finger 4, transcript variant 1","ENSMUSG00000036218","1110017D07Rik","15","protein_coding",NA,"PDZRN4"
"Ier3",15937,"immediate early response 3","ENSMUSG00000003541","cAMP inducible gene 3","17","protein_coding","abnormal CD4-positive alpha-beta T cell physiology","IER3"
"Mir378a",723889,"microRNA 378a","ENSMUSG00000105200","Mirn378","18","miRNA","abnormal mitochondrial physiology","MIR378A"
"Magee2",272790,"melanoma antigen, family E, 2","ENSMUSG00000031224","9630059J11Rik","X","protein_coding",NA,"MAGEE2"
"Plekhg2",101497,"pleckstrin homology domain containing, family G (with RhoGef domain) member 2, transcript variant X3","ENSMUSG00000037552","Clg","7","protein_coding","increased bone mineral density","PLEKHG2"
"Boc",117606,"biregional cell adhesion molecule-related/down-regulated by oncogenes (Cdon) binding protein","ENSMUSG00000022687",NA,"16","protein_coding","decreased bone mineral content","BOC"
"Ddx39b",53817,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B, transcript variant 1","ENSMUSG00000019432","0610030D10Rik","17","protein_coding","increased cellular sensitivity to gamma-irradiation","DDX39B"
"H2-T24",15042,"histocompatibility 2, T region locus 24, transcript variant X3","ENSMUSG00000053835","H-2T24","17","protein_coding","decreased circulating free fatty acids level","HLA-E"
"Insm1",53626,"insulinoma-associated 1","ENSMUSG00000068154","IA-1","2","protein_coding","abnormal endocrine pancreas development","INSM1"
"Vstm5",69137,"V-set and transmembrane domain containing 5, transcript variant X1","ENSMUSG00000031937","2200002K05Rik","9","protein_coding","decreased interleukin-2 secretion","VSTM5"
"Kctd4",67516,"potassium channel tetramerisation domain containing 4","ENSMUSG00000046523","2210017A09Rik","14","protein_coding",NA,"KCTD4"
"Oprm1",18390,"opioid receptor, mu 1, transcript variant MOR-1M","ENSMUSG00000000766","MOP receptor","10","protein_coding","abnormal behavioral response to addictive substance","OPRM1"
"Zfand6",65098,"zinc finger, AN1-type domain 6, transcript variant X5","ENSMUSG00000030629","3110005P07Rik","7","protein_coding","abnormal kidney morphology","ZFAND6"
"Cx3cl1",20312,"chemokine (C-X3-C motif) ligand 1","ENSMUSG00000031778","CX3C","8","protein_coding","decreased cornea thickness","CX3CL1"
"Tacr3",21338,"tachykinin receptor 3","ENSMUSG00000028172","neuromedin K receptor","3","protein_coding","decreased grip strength","TACR3"
"Gpr4",319197,"G protein-coupled receptor 4, transcript variant X1","ENSMUSG00000044317",NA,"7","protein_coding","abnormal angiogenesis","GPR4"
"Ptgis",19223,"prostaglandin I2 (prostacyclin) synthase, transcript variant X1","ENSMUSG00000017969","Cyp8a1","2","protein_coding","abnormal brain morphology","PTGIS"
"Ccdc28a",215814,"coiled-coil domain containing 28A","ENSMUSG00000059554","1700009P13Rik","10","protein_coding","abnormal iris pigmentation","CCDC28A"
"Ido2",209176,"indoleamine 2,3-dioxygenase 2, transcript variant X1","ENSMUSG00000031549","C230043N17Rik","8","protein_coding","process of degenerative change","IDO2"
"Elfn2",207393,"leucine rich repeat and fibronectin type III, extracellular 2, transcript variant X1","ENSMUSG00000043460","Lrrc62","15","protein_coding","abnormal behavior","ELFN2"
"Ngp",18054,"neutrophilic granule protein","ENSMUSG00000032484","bectenecin","9","protein_coding","corneal opacity",NA
"Ptpro",19277,"protein tyrosine phosphatase, receptor type, O, transcript variant 1","ENSMUSG00000030223","D28","6","protein_coding","abnormal cardiovascular system physiology","PTPRO"
"Neto1",246317,"neuropilin (NRP) and tolloid (TLL)-like 1, transcript variant X1","ENSMUSG00000050321","C130005O10Rik","18","protein_coding","abnormal acid-activated cation-mediated receptor currents","NETO1"
"Col6a2",12834,"collagen, type VI, alpha 2","ENSMUSG00000020241","Col6a-2","10","protein_coding","decreased grip strength","COL6A2"
"Fev",260298,"FEV (ETS oncogene family)","ENSMUSG00000055197","mPet-1","1","protein_coding","abnormal neuron differentiation","FEV"
"Mmab",77697,"methylmalonic aciduria (cobalamin deficiency) type B homolog (human)","ENSMUSG00000029575","9130222L19Rik","5","protein_coding",NA,"MMAB"
"Resp18",19711,"regulated endocrine-specific protein 18, transcript variant X1","ENSMUSG00000033061",NA,"1","protein_coding","decreased fasting circulating glucose level","RESP18"
"Amn",93835,"amnionless","ENSMUSG00000021278","5033428N14Rik","12","protein_coding","abnormal ectoderm development","AMN"
"Tmem132b",208151,"transmembrane protein 132B","ENSMUSG00000070498",NA,"5","protein_coding","abnormal cholesterol homeostasis","TMEM132B"
"St6gal2",240119,"beta galactoside alpha 2,6 sialyltransferase 2, transcript variant X5","ENSMUSG00000024172","C230064G14Rik","17","protein_coding","long tibia","ST6GAL2"
"Tbc1d25",209815,"TBC1 domain family, member 25, transcript variant X1","ENSMUSG00000039201","6330576A08Rik","X","protein_coding","cardiac fibrosis","TBC1D25"
"Pdcd2l",68079,"programmed cell death 2-like","ENSMUSG00000002635","6030457N17Rik","7","protein_coding",NA,NA
"Acot3",171281,"acyl-CoA thioesterase 3, transcript variant X2","ENSMUSG00000021228","PTE-Ia","12","protein_coding","abnormal eye morphology","ACOT1"
"Gm5468",432939,"predicted gene 5468","ENSMUSG00000056089","100040583","15","lncRNA",NA,NA
"Atg16l1",77040,"autophagy related 16-like 1 (S. cerevisiae), transcript variant X2","ENSMUSG00000026289","1500009K01Rik","1","protein_coding","increased circulating serum albumin level","ATG16L1"
"Rpl14-ps1",100040970,"ribosomal protein L14, pseudogene 1","ENSMUSG00000046721","Gm9811","7","processed_pseudogene",NA,NA
"Glra3",110304,"glycine receptor, alpha 3 subunit, transcript variant X1","ENSMUSG00000038257",NA,"8","protein_coding","abnormal eye physiology","GLRA3"
"Plekhh3",217198,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 3, transcript variant X6","ENSMUSG00000035172",NA,"11","protein_coding",NA,"PLEKHH3"
"Pcdhga1",93709,"protocadherin gamma subfamily A, 1","ENSMUSG00000103144",NA,"18","protein_coding","no abnormal phenotype detected","PCDHGA1"
"Gm9899",100502829,"predicted gene 9899","ENSMUSG00000053214",NA,"5","lncRNA",NA,NA
"Eps8l1",67425,"EPS8-like 1, transcript variant X8","ENSMUSG00000006154","2310051G19Rik","7","protein_coding","decreased pulmonary ventilation","EPS8L1"
"Serpina3g",20715,"serine (or cysteine) peptidase inhibitor, clade A, member 3G","ENSMUSG00000041481","2A2","12","protein_coding","abnormal memory T cell morphology","SERPINA3"
"Pcdh17",219228,"protocadherin 17, transcript variant X1","ENSMUSG00000035566","C030033F14Rik","14","protein_coding","abnormal paired-pulse inhibition","PCDH17"
"Riok3",66878,"RIO kinase 3","ENSMUSG00000024404","1200013N13Rik","18","protein_coding",NA,"RIOK3"
"Dcaf12l2",245403,"DDB1 and CUL4 associated factor 12-like 2","ENSMUSG00000050926","A130007F10Rik","X","protein_coding",NA,"DCAF12L2"
"Ankrd6",140577,"ankyrin repeat domain 6, transcript variant X2","ENSMUSG00000040183","diversin","4","protein_coding","abnormal vestibular hair cell morphology","ANKRD6"
"Dhrs11",192970,"dehydrogenase/reductase (SDR family) member 11, transcript variant X2","ENSMUSG00000034449",NA,"11","protein_coding",NA,"DHRS11"
"Zdhhc22",238331,"zinc finger, DHHC-type containing 22, transcript variant X2","ENSMUSG00000048483","LOC238331","12","protein_coding",NA,"ZDHHC22"
"Hmgb3",15354,"high mobility group box 3, transcript variant 1","ENSMUSG00000015217","Hmg2a","X","protein_coding","abnormal common lymphocyte progenitor cell morphology","HMGB3"
"Mid1",17318,"midline 1, transcript variant 6","ENSMUSG00000035299","61B3-R","X","protein_coding","abnormal axon morphology","MID1"
"Celf3",78784,"CUGBP, Elav-like family member 3, transcript variant X10","ENSMUSG00000028137","4930415M08Rik","3","protein_coding","abnormal sperm motility","CELF3"
"Akap5",238276,"A kinase (PRKA) anchor protein 5, transcript variant X1","ENSMUSG00000021057","3526401B18Rik","12","protein_coding","abnormal AMPA-mediated synaptic currents","AKAP5"
"Phlda3",27280,"pleckstrin homology-like domain, family A, member 3","ENSMUSG00000041801","TDAG/lpl homolog 1","1","protein_coding",NA,"PHLDA3"
"Arfgap2",77038,"ADP-ribosylation factor GTPase activating protein 2, transcript variant 1","ENSMUSG00000027255","2310032E02Rik","2","protein_coding",NA,"ARFGAP2"
"Gabpb1",14391,"GA repeat binding protein, beta 1, transcript variant 7","ENSMUSG00000027361","BABPB2","2","protein_coding","embryonic lethality during organogenesis complete penetrance","GABPB1"
"Mybpc1",109272,"myosin binding protein C, slow-type, transcript variant X4","ENSMUSG00000020061","8030451F13Rik","10","protein_coding",NA,"MYBPC1"
"Nfkbia",18035,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha","ENSMUSG00000021025","I(Kappa)B(alpha)","12","protein_coding","abnormal B cell differentiation","NFKBIA"
"Gabra3",14396,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3","ENSMUSG00000031343","Gabra-3","X","protein_coding","abnormal GABA-mediated receptor currents","GABRA3"
"Gtpbp2",56055,"GTP binding protein 2, transcript variant X1","ENSMUSG00000023952","nmf205","17","protein_coding","enlarged lymph nodes","GTPBP2"
"Ptgdr",19214,"prostaglandin D receptor","ENSMUSG00000071489","DP","14","protein_coding","decreased basophil cell number","PTGDR"
"Myh15",667772,"myosin, heavy chain 15","ENSMUSG00000092009","EG667772","16","protein_coding",NA,"MYH15"
"Ciz1",68379,"CDKN1A interacting zinc finger protein 1, transcript variant X16","ENSMUSG00000039205","0610038H21Rik","2","protein_coding","decreased body size","CIZ1"
"Tmem62",96957,"transmembrane protein 62, transcript variant X1","ENSMUSG00000054484","B830009D23Rik","2","protein_coding","decreased grip strength","TMEM62"
"Pan3",72587,"PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae), transcript variant X3","ENSMUSG00000029647","2700050F09Rik","5","protein_coding","abnormal skin morphology","PAN3"
"Pld3",18807,"phospholipase D family, member 3, transcript variant X3","ENSMUSG00000003363","Sam-9","7","protein_coding","decreased circulating glucose level","PLD3"
"Trim3",55992,"tripartite motif-containing 3, transcript variant 4","ENSMUSG00000036989","BERP1","7","protein_coding","abnormal retinal outer nuclear layer morphology","TRIM3"
"Spata2l",78779,"spermatogenesis associated 2-like, transcript variant X2","ENSMUSG00000033594","2610039E05Rik","8","protein_coding",NA,"SPATA2L"
"Gm2223",100039419,NA,"ENSMUSG00000079297",NA,"X","processed_pseudogene",NA,NA
"Dnah1",110084,"dynein, axonemal, heavy chain 1","ENSMUSG00000019027","B230373P09Rik","14","protein_coding","abnormal coat appearance","DNAH1"
"Pnoc",18155,"prepronociceptin, transcript variant 2","ENSMUSG00000045731","N/OFQ","14","protein_coding","abnormal mechanical nociception","PNOC"
"Dzank1",241688,"double zinc ribbon and ankyrin repeat domains 1, transcript variant X3","ENSMUSG00000037259","2810039F03Rik","2","protein_coding","decreased circulating insulin level","DZANK1"
"Safb2",224902,"scaffold attachment factor B2, transcript variant X2","ENSMUSG00000042625",NA,"17","protein_coding","abnormal bone structure","SAFB2"
"Rnf128",66889,"ring finger protein 128, transcript variant 2","ENSMUSG00000031438","1300002C13Rik","X","protein_coding","abnormal urinary bladder morphology","RNF128"
"Jpx",70252,"Jpx transcript, Xist activator (non-protein coding)","ENSMUSG00000097571","2010000I03Rik","X","lncRNA",NA,NA
"Il16",16170,"interleukin 16, transcript variant X1","ENSMUSG00000001741",NA,"7","protein_coding","abnormal T cell physiology","IL16"
"Slc26a7",208890,"solute carrier family 26, member 7, transcript variant X2","ENSMUSG00000040569",NA,"4","protein_coding","abnormal digestive system physiology","SLC26A7"
"Rspo1",192199,"R-spondin homolog (Xenopus laevis), transcript variant X1","ENSMUSG00000028871","R-spondin","4","protein_coding","abnormal eye anterior chamber depth","RSPO1"
"Hcfc2",67933,"host cell factor C2, transcript variant X9","ENSMUSG00000020246","1700129L13Rik","10","protein_coding","abnormal innate immunity","HCFC2"
"Gm35315",102638847,"predicted gene, 35315, transcript variant X1","ENSMUSG00000109771","Gm20090","5","protein_coding",NA,NA
"Tyrp1",22178,"tyrosinase-related protein 1, transcript variant X1","ENSMUSG00000005994","isa","4","protein_coding","abnormal behavior","TYRP1"
"Pank4",269614,"pantothenate kinase 4, transcript variant X1","ENSMUSG00000029056","D030031I12Rik","4","protein_coding","abnormal lens epithelium morphology","PANK4"
"Ngef",53972,"neuronal guanine nucleotide exchange factor, transcript variant 1","ENSMUSG00000026259","ephexin","1","protein_coding","abnormal axon extension","NGEF"
"Llgl1",16897,"lethal giant larvae homolog 1 (Drosophila), transcript variant X1","ENSMUSG00000020536","Lgl1","11","protein_coding","abnormal brain vasculature morphology","LLGL1"
"Usp12",22217,"ubiquitin specific peptidase 12","ENSMUSG00000029640","Ubh1","5","protein_coding","abnormal urination","USP12"
"Ppp2r2d",52432,"protein phosphatase 2, regulatory subunit B, delta","ENSMUSG00000041769","1300017E19Rik","7","protein_coding","abnormal lymph node morphology","PPP2R2D"
"Zfp677",210503,"zinc finger protein 677, transcript variant X1","ENSMUSG00000062743","A830058L05Rik","17","protein_coding",NA,NA
"Heyl",56198,"hairy/enhancer-of-split related with YRPW motif-like","ENSMUSG00000032744","bHLHb33","4","protein_coding","abnormal sleep behavior","HEYL"
"Sin3b",20467,"transcriptional regulator, SIN3B (yeast), transcript variant 1","ENSMUSG00000031622","2810430C10Rik","8","protein_coding","abnormal bone mineralization","SIN3B"
"Sidt1",320007,"SID1 transmembrane family, member 1, transcript variant X2","ENSMUSG00000022696","B830021E24Rik","16","protein_coding","abnormal kidney morphology","SIDT1"
"Spin2c",278240,"spindlin family, member 2C, transcript variant X2","ENSMUSG00000046550","Spin2","X","protein_coding","abnormal bone structure","SPIN2B"
"Wasf2",242687,"WAS protein family, member 2, transcript variant X2","ENSMUSG00000028868","D4Ertd13e","4","protein_coding","abnormal behavior","WASF2"
"Tmem14a",75712,"transmembrane protein 14A, transcript variant X1","ENSMUSG00000025933","5730496E24Rik","1","protein_coding","increased exploration in new environment","TMEM14A"
"Cntnap5a",636808,"contactin associated protein-like 5A, transcript variant X3","ENSMUSG00000070695","Caspr5-1","1","protein_coding","decreased heart weight",NA
"Ccm2l",228788,"cerebral cavernous malformation 2-like, transcript variant X3","ENSMUSG00000027474","BC020535","2","protein_coding","abnormal tumor vascularization","CCM2L"
"Sema3e",20349,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E","ENSMUSG00000063531","Semah","5","protein_coding","Bergmeister's papilla","SEMA3E"
"Il18bp",16068,"interleukin 18 binding protein","ENSMUSG00000070427","Igifbp","7","protein_coding","shortened PR interval","IL18BP"
"Slc35f1",215085,"solute carrier family 35, member F1","ENSMUSG00000038602",NA,"10","protein_coding","decreased lactate dehydrogenase level","SLC35F1"
"Best1",24115,"bestrophin 1, transcript variant X1","ENSMUSG00000037418","best macular dystrophy","19","protein_coding","abnormal acrosome morphology","BEST1"
"Pde8b",218461,"phosphodiesterase 8B, transcript variant 2","ENSMUSG00000021684","B230331L10Rik","13","protein_coding","decreased circulating adrenocorticotropin level",NA
"Htr7",15566,"5-hydroxytryptamine (serotonin) receptor 7, transcript variant X3","ENSMUSG00000024798","5-HT7","19","protein_coding","abnormal sleep behavior","HTR7"
"Cfap57",68625,"cilia and flagella associated protein 57, transcript variant X2","ENSMUSG00000028730","1110020C03Rik","4","protein_coding","abnormal brain morphology","CFAP57"
"Sgsm1",52850,"small G protein signaling modulator 1, transcript variant X1","ENSMUSG00000042216","2410098H20Rik","5","protein_coding","decreased CD4-positive alpha beta T cell number","SGSM1"
"Scn3b",235281,"sodium channel, voltage-gated, type III, beta, transcript variant X1","ENSMUSG00000049281","1110001K16Rik","9","protein_coding","abnormal bone structure","SCN3B"
"Mark3",17169,"MAP/microtubule affinity-regulating kinase 3, transcript variant 1","ENSMUSG00000007411","1600015G02Rik","12","protein_coding","abnormal adipocyte glucose uptake","MARK3"
"Acsl5",433256,"acyl-CoA synthetase long-chain family member 5, transcript variant X1","ENSMUSG00000024981","1700030F05Rik","19","protein_coding","abnormal lens morphology","ACSL5"
"Qpct",70536,"glutaminyl-peptide cyclotransferase (glutaminyl cyclase)","ENSMUSG00000024084","5730422A13Rik","17","protein_coding",NA,"QPCT"
"Iqcc",230767,"IQ motif containing C, transcript variant X1","ENSMUSG00000040795",NA,"4","protein_coding",NA,"IQCC"
"Noc2l",57741,"nucleolar complex associated 2 homolog (S. cerevisiae), transcript variant X1","ENSMUSG00000095567","NIR","4","protein_coding",NA,"NOC2L"
"Slc25a27",74011,"solute carrier family 25, member 27, transcript variant X4","ENSMUSG00000023912","3632410G24Rik","17","protein_coding",NA,"SLC25A27"
"Kdm4b",193796,"lysine (K)-specific demethylase 4B, transcript variant X1","ENSMUSG00000024201","4732474L06Rik","17","protein_coding","decreased circulating chloride level","KDM4B"
"Pde1b",18574,"phosphodiesterase 1B, Ca2+-calmodulin dependent, transcript variant 1","ENSMUSG00000022489",NA,"15","protein_coding","decreased spleen weight","PDE1B"
"Pcdha10",12943,"protocadherin alpha 10","ENSMUSG00000007440","Cnr3","18","protein_coding",NA,"PCDHA4"
"Gja5",14613,"gap junction protein, alpha 5, transcript variant 1","ENSMUSG00000057123","connexin 40","3","protein_coding","abnormal QRS complex","GJA5"
"Irs4",16370,"insulin receptor substrate 4, transcript variant X1","ENSMUSG00000054667","IRS-4","X","protein_coding","abnormal fertility/fecundity","IRS4"
"Mamdc4",381352,"MAM domain containing 4, transcript variant X5","ENSMUSG00000026941","LOC381352","2","protein_coding",NA,"MAMDC4"
"Mthfd2l",665563,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like","ENSMUSG00000029376","1110019K23Rik","5","protein_coding","abnormal skin morphology","MTHFD2L"
"Lrrtm1",74342,"leucine rich repeat transmembrane neuronal 1, transcript variant X1","ENSMUSG00000060780","4632401D06Rik","6","protein_coding","abnormal eye morphology","LRRTM1"
"Tacr1",21336,"tachykinin receptor 1, transcript variant X2","ENSMUSG00000030043","neurokinin receptor 1","6","protein_coding","abnormal body temperature homeostasis","TACR1"
"Lmo3",109593,"LIM domain only 3, transcript variant X8","ENSMUSG00000030226","Rbtn-3","6","protein_coding","no abnormal phenotype detected","LMO3"
"Psg16",26436,"pregnancy specific glycoprotein 16, transcript variant X2","ENSMUSG00000066760","bCEA","7","protein_coding","decreased cornea thickness","CEACAM21"
"Abcc8",20927,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8, transcript variant X8","ENSMUSG00000040136","D930031B21Rik","7","protein_coding","impaired glucose tolerance","ABCC8"
"Epc1",13831,"enhancer of polycomb homolog 1 (Drosophila), transcript variant 1","ENSMUSG00000024240","2400007E14Rik","18","protein_coding","abnormal behavior","EPC1"
"Slc6a7",240332,"solute carrier family 6 (neurotransmitter transporter, L-proline), member 7, transcript variant X7","ENSMUSG00000052026","Prot","18","protein_coding","decreased bone mineral content","SLC6A7"
"Col4a5",12830,"collagen, type IV, alpha 5, transcript variant X1","ENSMUSG00000031274",NA,"X","protein_coding","abnormal kidney morphology","COL4A5"
"Gm8013",666266,"predicted gene 8013, transcript variant X3","ENSMUSG00000106357",NA,"5","lncRNA",NA,NA
"Clpx",270166,"caseinolytic mitochondrial matrix peptidase chaperone subunit, transcript variant X1","ENSMUSG00000015357",NA,"9","protein_coding","embryonic lethality prior to organogenesis","CLPX"
"Dffb",13368,"DNA fragmentation factor, beta subunit, transcript variant X2","ENSMUSG00000029027","40kDa","4","protein_coding","increased anti-nuclear antigen antibody level","DFFB"
"Senp3",80886,"SUMO/sentrin specific peptidase 3, transcript variant 2","ENSMUSG00000005204","Smt3ip1","11","protein_coding","abnormal behavior","SENP3"
"Hhex",15242,"hematopoietically expressed homeobox","ENSMUSG00000024986","Hex","19","protein_coding","abnormal anterior definitive endoderm morphology",NA
"Per2",18627,"period circadian clock 2, transcript variant X1","ENSMUSG00000055866","mPer2","1","protein_coding","abnormal coat/hair pigmentation","PER2"
"Rnpep",215615,"arginyl aminopeptidase (aminopeptidase B), transcript variant 2","ENSMUSG00000041926",NA,"1","protein_coding",NA,"RNPEP"
"Ttll1",319953,"tubulin tyrosine ligase-like 1","ENSMUSG00000022442","6330444E16Rik","15","protein_coding","abnormal tail movements","TTLL1"
"Ppp1r1c",75276,"protein phosphatase 1, regulatory (inhibitor) subunit 1C, transcript variant 2","ENSMUSG00000034683","4930565M23Rik","2","protein_coding",NA,"PPP1R1C"
"Moxd1",59012,"monooxygenase, DBH-like 1","ENSMUSG00000020000","3230402N08Rik","10","protein_coding","increased circulating sodium level","MOXD1"
"Susd6",217684,"sushi domain containing 6, transcript variant 1","ENSMUSG00000021133","4933426M11Rik","12","protein_coding","decreased body weight","SUSD6"
"Ighm",16019,NA,"ENSMUSG00000076617","Ig mu","12","IG_C_gene","abnormal B cell activation","IGHM"
"Fam131a",78408,"family with sequence similarity 131, member A, transcript variant X2","ENSMUSG00000050821","2900046G09Rik","16","protein_coding","increased body temperature","FAM131A"
"Zfp92",22754,"zinc finger protein 92, transcript variant X4","ENSMUSG00000031374",NA,"X","protein_coding","abnormal bone structure","ZFP92"
"Kirrel",170643,"kin of IRRE like (Drosophila), transcript variant 2","ENSMUSG00000041734","6720469N11Rik","3","protein_coding","abnormal podocyte foot process morphology","KIRREL1"
"Npsr1",319239,"neuropeptide S receptor 1, transcript variant X1","ENSMUSG00000043659","9330128H10Rik","9","protein_coding","improved glucose tolerance","NPSR1"
"Kcnj16",16517,"potassium inwardly-rectifying channel, subfamily J, member 16, transcript variant 1","ENSMUSG00000051497","6430410F18Rik","11","protein_coding","abnormal bone mineralization","KCNJ16"
"Atg10",66795,"autophagy related 10, transcript variant X3","ENSMUSG00000021619","5330424L23Rik","13","protein_coding",NA,"ATG10"
"Vwc2l",320460,"von Willebrand factor C domain-containing protein 2-like, transcript variant X1","ENSMUSG00000045648","A830006F12Rik","1","protein_coding","abnormal eye morphology","VWC2L"
"Sox14",20669,"SRY (sex determining region Y)-box 14","ENSMUSG00000053747",NA,"9","protein_coding",NA,"SOX14"
"Zc3h3",223642,"zinc finger CCCH type containing 3, transcript variant X1","ENSMUSG00000075600","Smicl","15","protein_coding",NA,"ZC3H3"
"Gak",231580,"cyclin G associated kinase, transcript variant 3","ENSMUSG00000062234","D130045N16Rik","5","protein_coding","abnormal lung alveolus development","GAK"
"Tox2",269389,"TOX high mobility group box family member 2, transcript variant X6","ENSMUSG00000074607","LOC269389","2","protein_coding","abnormal gait","TOX2"
"Tenm2",23964,"teneurin transmembrane protein 2, transcript variant X4","ENSMUSG00000049336","2610040L17Rik","11","protein_coding","abnormal lateral geniculate nucleus morphology","TENM2"
"Begain",380785,"brain-enriched guanylate kinase-associated, transcript variant X1","ENSMUSG00000040867","LOC380785","12","protein_coding","decreased circulating LDL cholesterol level","BEGAIN"
"Dsc3",13507,"desmocollin 3, transcript variant 1","ENSMUSG00000059898","5430426I24Rik","18","protein_coding","absent optic nerve","DSC3"
"Fbll1",237730,"fibrillarin-like 1","ENSMUSG00000051062",NA,"11","protein_coding",NA,"FBLL1"
"Dnah7a",627872,"dynein, axonemal, heavy chain 7A, transcript variant X3","ENSMUSG00000096141","Dnahc7","1","protein_coding",NA,"DNAH7"
"Gm3764",100042277,"predicted gene 3764, transcript variant X20","ENSMUSG00000097156","Gm3759","3","lncRNA",NA,NA
"Strip1",229707,"striatin interacting protein 1","ENSMUSG00000014601","6330569M22Rik","3","protein_coding","abnormal mesoderm development","STRIP1"
"Nmnat3",74080,"nicotinamide nucleotide adenylyltransferase 3, transcript variant X4","ENSMUSG00000032456","4933408N02Rik","9","protein_coding","abnormal enzyme/coenzyme level","NMNAT3"
"Lims2",225341,"LIM and senescent cell antigen like domains 2, transcript variant X2","ENSMUSG00000024395","PINCH2","18","protein_coding","abnormal response to cardiac infarction","LIMS2"
"Fam43b",625638,"family with sequence similarity 43, member B","ENSMUSG00000078235","OTTMUSG00000009974","4","protein_coding",NA,"FAM43B"
"Ccnl2",56036,"cyclin L2, transcript variant X3","ENSMUSG00000029068","1700010A01Rik","4","protein_coding",NA,"CCNL2"
"Gm11627",100040792,"predicted gene 11627","ENSMUSG00000078640",NA,"11","protein_coding",NA,NA
"Rabl2",68708,"RAB, member RAS oncogene family-like 2, transcript variant X2","ENSMUSG00000022621","1110031N17Rik","15","protein_coding","abnormal autopod morphology","RABL2B"
"Kcnj3",16519,"potassium inwardly-rectifying channel, subfamily J, member 3, transcript variant X5","ENSMUSG00000026824","GIRK1","2","protein_coding","abnormal epididymis morphology","KCNJ3"
"Zfp36",22695,"zinc finger protein 36","ENSMUSG00000044786","Nup475","7","protein_coding","decreased mean corpuscular volume","ZFP36"
"Slc2a1",20525,"solute carrier family 2 (facilitated glucose transporter), member 1","ENSMUSG00000028645","Glut-1","4","protein_coding","abnormal glucose homeostasis","SLC2A1"
"Cnksr3",215748,"Cnksr family member 3, transcript variant X1","ENSMUSG00000015202","Magi1","10","protein_coding",NA,"CNKSR3"
"AW551984",244810,"expressed sequence AW551984, transcript variant 2","ENSMUSG00000038112",NA,"9","protein_coding",NA,"VWA5A"
"Hykk",235386,"hydroxylysine kinase 1","ENSMUSG00000035878","Agphd1","9","protein_coding",NA,"HYKK"
"Rnasel",24014,"ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent), transcript variant X4","ENSMUSG00000066800","2-5A-dependent RNAase","1","protein_coding","abnormal thymus morphology","RNASEL"
"Shc1",20416,"src homology 2 domain-containing transforming protein C1, transcript variant X1","ENSMUSG00000042626","p66","3","protein_coding","abnormal actin cytoskeleton morphology","SHC1"
"Ppp1r12c",232807,"protein phosphatase 1, regulatory (inhibitor) subunit 12C, transcript variant X4","ENSMUSG00000019254","2410197A17Rik","7","protein_coding",NA,"PPP1R12C"
"Syne4",233066,"spectrin repeat containing, nuclear envelope family member 4, transcript variant 1","ENSMUSG00000019737","0610012K07Rik","7","protein_coding","abnormal cochlear outer hair cell morphology","SYNE4"
"Arrdc2",70807,"arrestin domain containing 2, transcript variant X1","ENSMUSG00000002910","4632416I05Rik","8","protein_coding","increased cornea thickness","ARRDC2"
"Usp28",235323,"ubiquitin specific peptidase 28, transcript variant X8","ENSMUSG00000032267","9830148O20Rik","9","protein_coding","decreased spleen weight","USP28"
"Slfn4",20558,"schlafen 4, transcript variant X2","ENSMUSG00000000204",NA,"11","protein_coding","impaired glucose tolerance","SLFN12"
